min	T_w	T_k	P. effekt	T1	T2	T3	T4	Tryck 1 	Tryck 2
0.0	34.3	34.4	140.0	22.4	21.2	25.3	21.6	3.8	5.0
1.0	34.8	34.2	159.1	9.3	24.5	37.0	34.6	2.6	11.0
2.0	37.3	32.8	169.5	9.8	26.2	41.1	38.3	2.8	12.0
3.0	39.2	31.0	175.7	11.1	26.0	43.6	40.5	3.0	12.5
4.0	41.4	29.2	180.0	12.1	25.1	45.7	42.4	3.1	13.0
5.0	43.3	27.6	183.4	12.9	24.0	47.6	44.0	3.2	14.0
6.0	45.3	25.8	174.7	13.4	23.2	49.6	45.7	3.2	14.5
7.0	47.0	24.1	178.4	13.6	22.3	51.2	47.3	3.2	15.0
8.0	48.7	22.4	180.6	13.6	21.4	52.5	48.7	3.2	16.0
9.0	50.3	21.0	182.4	13.5	20.4	54.0	49.9	3.2	16.0
10.0	51.8	19.3	183.7	13.2	19.4	55.0	51.4	3.2	16.5
11.0	53.1	17.6	182.9	12.9	16.8	56.3	52.6	3.1	17.0
12.0	54.1	16.2	181.0	11.4	13.8	56.8	53.2	2.8	17.0
13.0	55.5	15.1	180.2	10.8	10.7	57.2	54.1	2.8	18.0
14.0	56.3	14.2	178.8	9.6	12.7	58.0	54.7	2.6	18.0
15.0	57.2	13.2	173.9	8.8	8.9	58.8	55.2	2.4	18.0
16.0	57.9	12.2	174.7	8.2	11.4	58.8	55.9	2.4	18.0
17.0	58.6	11.2	168.7	7.0	8.7	59.6	55.8	2.2	18.5
18.0	59.3	10.5	170.5	6.9	7.0	59.8	56.8	2.2	19.0
19.0	59.8	9.7	165.4	5.6	8.3	60.0	56.5	2.0	19.0
20.0	60.3	9.0	164.4	5.4	4.9	60.7	57.1	2.0	19.0
21.0	60.7	8.3	162.3	4.6	7.8	60.6	57.5	1.9	19.0
22.0	61.0	7.6	159.3	4.0	3.7	61.2	57.5	1.8	19.0
23.0	61.2	7.1	158.7	3.5	6.8	60.8	58.0	1.8	19.0
24.0	61.6	6.7	154.2	2.5	3.5	61.4	57.5	1.6	19.5
25.0	61.6	6.3	155.3	2.6	2.3	60.7	58.2	1.6	19.0
26.0	62.0	6.1	151.0	1.6	2.9	61.4	57.4	1.5	19.0
27.0	61.9	6.1	151.3	1.6	1.1	61.0	58.3	1.5	19.0
28.0	62.2	5.8	147.2	0.5	1.9	61.2	57.5	1.4	19.5
29.0	62.2	5.8	147.7	0.6	3.6	61.2	58.1	1.4	19.0
30.0	62.5	5.8	146.3	0.4	-0.3	61.6	58.1	1.4	19.5
31.6	62.5	1.7	145.8	0.2	3.2	61.5	57.9	1.4	19.5
32.0	62.6	1.7	146.2	0.3	3.5	61.5	58.5	1.4	19.5
33.0	62.5	0.3	145.7	0.3	-0.7	61.5	58.7	1.4	19.5
34.0	62.6	-0.2	143.1	-0.6	1.8	61.8	57.5	1.3	19.5
35.0	62.8	-0.3	145.1	-0.2	4.0	62.2	56.4	1.4	20.0
36.0	62.9	-0.2	147.3	0.2	4.9	62.8	56.4	1.4	20.0
37.0	63.0	0.1	149.6	0.6	5.2	63.6	57.6	1.4	20.0
